JobTitle,Company,Location,Salary,PostDate,Summary,JobUrl
Actuarial Data Scientist,Selby Jennings,"Charlotte, NC","Further the development of their data analytics tool-kit.
Create data analytics tools that will serve as the basis for establishing best estimate assumptions…",,4 days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ac1dQX5O4bM0SP6UJQV27qUKlsnOLo2dFi0v4Kq4pXXbjTLEo__hQoGQbeCuKJDt0JoMTZ3hivDJF-6sN_Mm8oRF7U6XsMm4g0mV-otUuPQAfQ00udzbpvkrOPFPUg0o9jBlDX6_wWqDNWjPyceUxZklgChuy8fnLJAy9tKfgiBYEYV6kwX43Dfow76pUnAuyZZEQw_txfxqvlPf7I_GDNl9yQFqA9xeV65VHLWBvlzFErysATBJX3gUQdJb10tt4BuEqj17-MhRUF9Z_HtEEbZU9JLGWDfl9UY0PAVMSK2ovVQ_uGxN81aSks-g2XkqraRh477NwJHZ5NQGdO79ifevk6jY6U24p4IY1TQ8eJmaLBSx319sMtRJ4CyNSMdcxEqilqvwl9kYOJIAyUJuJlVP4GbOGPsfGyttYk_bS4nh9pM2V6BOdAVndkIG0CQg-CkmeRLmXXVzfemOPNVaEgzSqJN8JZNVBAGS1lcVPBnwleOCkvHkyXEg4tL1kJ7044Jf0GGBnJag==&p=13&fvj=0&vjs=3
Data Science Fellow,The Data Incubator,United States,"By the end of the program, you’ll have the skills and tools you need to become one of the leading data scientists of the future.",,30+ days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AFcTrA1_uKpZHrLOjwp2Xyaym5SxGSiM5Y5L77SresXLp9O6CsoIptZaJuEMhR_zGKN2gn9c3kTqK4V6I8mfRTLMkDAwGdnsN54yD75HhxeJxvIt9b-NRCrXWNVkDviX4GHpU8x9omX4ozSueFNmfv4Bhb5buDaz9onqFjj8KVNynv_fvv1XCsfcuLzA-PUQ7hf9blQ4XOAX2ha-AgsqxSxHykea4VygxZeBe6TWiw6VWi2ff1YLK2dgbBlSgW-aGxt5-GdebpfGfTVhIFt-w8gRfHN1-wphiyXxasp40inWLwBEIgrnkkgRPLEqAIK4vWwPid02hB8Otf2mbxtZu-diqajCcyUddz2kRForUrUFlmiY0DKYrFEdpbBoq9veawlc9Z-1DGyiC3ijXu_pYx-pJGRxWtwFd1x8-pVWzqv_vEvmvybNmFKVpAUMtLslTHSvt7UWhWYQ==&p=0&fvj=1&vjs=3
Actuarial Data Scientist,Selby Jennings,"Charlotte, NC","Further the development of their data analytics tool-kit.
Create data analytics tools that will serve as the basis for establishing best estimate assumptions…",,4 days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ac1dQX5O4bM0SP6UJQV27qUKlsnOLo2dFi0v4Kq4pXXbjTLEo__hQoGQbeCuKJDt0JoMTZ3hivDJF-6sN_Mm8oRF7U6XsMm4g0mV-otUuPQAfQ00udzbpvkrOPFPUg0o9jBlDX6_wWqDNWjPyceUxZklgChuy8fnLJAy9tKfgiBYEYV6kwX43Dfow76pUnAuysbkbYtGZcX_x1owqYInjAKmk2y3u2hAE3FKLe_Grs2VGRq2a2Lvt-nqowEhLjouOuEh9dx_AE3EyZeB_e_BRQh2M13mMVuD-G-9HRcCmLxgxplTUrKxiI6xe-WppZ53HoxYcdbN0_2VHspVqMw3qrYT6C_Ufw12Gv8nGH8kwiUuGDnzA9T3nnSYojkY9gj6QBiND8D8g_yMoTd0iWHmYwtshNwF2o-ZooYpAwrKNUuJq-gDfwb9-oZYvALxhcwjkbYS310-rM7aURkqHCC7EmFXoYp9l5_gxDRpZrrFBBSHJvyzZ6SB_LnX6xujkAc3dX8Ek9dfu3Cw==&p=1&fvj=0&vjs=3
Senior Data Analyst,Bank of America,"Charlotte, NC","Proficient in data management to include strong data analytical capability.
Ability to create management level reporting using aggregated bank data.",,3 days ago,https://www.indeed.com/rc/clk?jk=1deb772a9a3b5e2b&fccid=5bd99dfa21c8a490&vjs=3
Sr. Business Analyst/Data Analyst,Golden Mask Inc,"Charlotte, NC","Applies knowledge of industry trends and technology to drive organizational change and position XYZ for the future.
No C2C vendor's are applicable*.",,5 days ago,https://www.indeed.com/company/Golden-Mask-Inc/jobs/Senior-Business-Analyst-Data-Analyst-7bf6b77f458817a5?fccid=618c242ebca5ec4d&vjs=3
Sr. Data Analyst,Ingersoll Rand,"Davidson, NC","5+ years of relevant work experience, including 3+ years in data analytics / data science in a fast-paced, complex environment.",,3 days ago,https://www.indeed.com/rc/clk?jk=19df70963e628880&fccid=2e3453ae2db0c66d&vjs=3
Data Scientist,Lowe's,"Charlotte, NC","2 years of experience in data science or advanced analytics in industry.
Works with more senior level scientists on the team to translate requirements into an…",,19 days ago,https://www.indeed.com/rc/clk?jk=65f965759d703088&fccid=9a55d5dc8c10ef41&vjs=3
Senior Data Scientist,Data Bridge Consultants,"Charlotte, NC","Build complex advanced-level machine learning and advanced analytics models.
Conduct data analytics with the relevant programming / statistical package (such as…",,30+ days ago,https://www.indeed.com/rc/clk?jk=a54f94db6f4866af&fccid=eb7bcec5d5284bf2&vjs=3
Intern (Data Scientist - Population Health IT -Undergraduate - Summer),Centene Corporation,"Charlotte, NC","The intern will shadow, and support data scientists that are developing various Machine Learning models to be leveraged by the Population Health engineering…",,30+ days ago,https://www.indeed.com/rc/clk?jk=f8645eb1cb578264&fccid=5ece327da33e0274&vjs=3
Sr. Data Scientist,Lowe's,"Mooresville, NC",Leverages deep understanding of statistical techniques and tools to analyze data according to the project plan; communicates with stakeholders to provide…,,15 days ago,https://www.indeed.com/rc/clk?jk=dfd2becebe6e12d6&fccid=9a55d5dc8c10ef41&vjs=3
Regulatory Sr. Data Analyst,Bank of America,"Charlotte, NC","This role will collaborate closely with wholesale credit teams, reporting production teams, data owners, finance/risk reporting teams, and the CFO Group to…",,3 days ago,https://www.indeed.com/rc/clk?jk=be4daa67e675be30&fccid=5bd99dfa21c8a490&vjs=3
Sr Clinical Data Analyst - OPR GI/MI Surgery,Atrium Health,"Charlotte, NC","Compiles, analyzes and distributes pertinent clinical data as it relates to outcomes and resource utilization; provides support and monitors assigned facilities…",,9 days ago,https://www.indeed.com/rc/clk?jk=a0e001aa38bdc1d0&fccid=b533ab2927d30db7&vjs=3
"AVP, Data Science",LPL Financial,"Fort Mill, SC","Structure and develop recommendations to solve complex problems leveraging advanced analytics (data mining, predictive modeling and machine learning).",,30+ days ago,https://www.indeed.com/rc/clk?jk=7b8f3c9a2ffbd16a&fccid=bba3b2578c9adb92&vjs=3
Data Science Consultant SME,Meridian Technologies,"Charlotte, NC","Perform data exploration and data mining.
Discover business narratives told by the data and present them to other scientists, business stakeholders, and…",,30+ days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DMSIhDZ4aDe3idA9JYTkRcS2uZLmhduZ-CxViPWE3bMTqEU9-91rTLqSIIAEWrTw0yFo4pBgL7V3QPczLkgSFtlnVfmybPf7fAU63wq7QNl0b7hYa2lwnK7npYhAmpIaEGAwLzBnr1HzuVarP4TQh3eyrmXGJWMlJ8V8WZ7Mu_2BeKs-IFnOIgqFhKR0VMXW9vNRbIb6Jjb33bamMbIcz5Bjp6rMkTui-QtcQjdga_o_NDjYVH1u8F62rv9WKYMXgKcy4K8CVzLztio2z20yOYUj-xA4piX4-tBPX0M0IgA6UCyHaZ4pUA4i2LzjCy93VrApXu3vtKxICGi6zuCX7m0ulaYb3OG7ed0HdSIXkWd6BG9I7FV7OPLL6fkEETqrDoSKrNc_vAbQa7GW0HUOl_5k7-RHtckM0lIYyLzcrXw8wO2h-DTmzT07H7z_iXiWHxWG0r64Zt3Iig-pmT8GiVq8JZ1xu0ITk=&p=12&fvj=1&vjs=3
Data Scientist,"Pyramid Consulting, Inc","Charlotte, NC","Perform data exploration and data mining.
Client business narratives told by the data and present them to other scientists, business stakeholders, and managers…",,17 days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bjic9BpODao-m9BEup4myv2yv9o6hanv70kCRpjMjSDcmmrD9YS-C3oR4_7EU-DV3_MOd0n6ADolXtSPDqZc3MQsNbHGun35yurOGzxnQbNSozOUufdZLietqTDPBZJ_DhNOQ0QC8CfOaU5KPiSoeAcs_DyGCXDbX9PsuSm3cTt52fHlIFfoeriw8WaVXUaF4P--P6OTWPOqGoIzfdIblO6h9anVTZRULUsgfeIDBAs816wRCzFz6cdo024HuZihlSPIsWv6MA98ed91CTr6a3f8CpQ282MtlAvIExnSPWsiF4CBG1FUpK21cWEgcAWj_aIzhSz5YelfD7TlS4-tHqKchfil55YGbqbJnWCUtzWETZTlsG_EfuKFusPk0nIn9mUa1C_wLsZL0OTo4RgM-c6mGrXMCDJq8c1DOR5r9XlbgjyG_qM_YWVUCp0V-t-hNvPfvfKhhUPXEgmITqNmApv8WDwwFrDfLCNrPagUzELP_Qwl-gvznAYwrSOzLKpb_k06V_RYe07dWgdJU1EOOG3wQh_1SfGNBnbn22c8ZoQl1cPei_TIHsGOXaTLy_dDS6gTYTdobMYADOO81achpiJxiH40IiVrbjoQfEQAPGVfrx4qs-aOAVugnFvpHt2c1zsq3b4NIqJ03AxDFZvXv68mNiUcXmsWUc5bzughdFYmfi8SFR_fIZ9PijnxsF3gBg69mN0nhET3QmwLuAt6VeFgs8MysLt5VSy2r5a2KaslLrS3gN3M-3s7rH9LtZskXAQuhAwNRz75wIPuGxShwdM0emcz1NYjef2Vjmj3FBdYcF9WLx6wrE9MEthvICW00Kmizfk8qc_FYqIS99Gwcxd5bxSr__9XS_p0Y23KE071W-LL0K1cWlWv23AUArIkwNhWvfSJ75CplSMpTyZvDPcVpg7BJPAgHYZ03y2fWb8h5yhyTwM3LyhaLyw6YfCrtVoDJ3QIwdUdrbvqU_hfR7GvAgboKTGcCPSTvOr_Ld1Q==&p=13&fvj=0&vjs=3
Data Scientist,AccruePartners,"Charlotte, NC","Opportunity to analyze various sets of data to help identify various trends along with optimizations.
3-5 years of experience sourcing cleaning and validating…",,30+ days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cmq1pj5Dwku4j-j-jMxiR3p8DjIx5wPgrGZP7N5_dynGcPrp9S6jFT9rQaxa2Xft6ZhfuCJ3nISOVyKdn6K_hPODsRhi1N-a_TAHK2MwRO8kgnDnXpKmCk-Lwe7DNQ-KwPzj_l15CTlcMEFbGAvWQEDLFnZbQO_qOyM7xRb-0FlNRNapSCWaD3_m6Zbg7d1uFOEyAGvJeq3e_ptG7fRWO2kFeo7T7sPOA3SBf4bUAg77dCQEWis2cVBegPE0VLXmjcglbqZS2ESPQMBOgHXG7Sipho4HEcPtqwXyw-0S4XFEen_B19OsXEwyMNBtbiUJVVglfeGxQ-NSG-ZHoAE38MtvR2k57nDQjHoL6BYC9Du9-BhOpSmYVWDQfvTL-U5aluhKTrqxJgZYPI-An-knRNGVjH2ydeR7l9yPHswt6SnUNB07PXhdIGwP7SkPgyIEpuMtNgEpQlBA==&p=14&fvj=0&vjs=3
Data Science Fellow,The Data Incubator,United States,"By the end of the program, you’ll have the skills and tools you need to become one of the leading data scientists of the future.",,30+ days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AFcTrA1_uKpZHrLOjwp2Xyaym5SxGSiM5Y5L77SresXLp9O6CsoIptZaJuEMhR_zGKN2gn9c3kTqK4V6I8mfRTLMkDAwGdnsN54yD75HhxeJxvIt9b-NRCrXWNVkDviX4GHpU8x9omX4ozSueFNmfv4Bhb5buDaz9onqFjj8KVNynv_fvv1XCsIK6K9WUrCTUGBAu2HbadIkWqhLmkgrujgil7GHD67vfQBU5p4oNtucucmWZ7NAWgiQZLIUK24XStc5Y6oErDl45jPMpoaxzJmvyQ4BFLj48p-r87sKbfAp8MF13sgdVCPjmVAUVmS8KviRcRJFXYkA6iT6GWISTT0tklzbsc-3kaYm2SSyiZc8EjyWMCTlK2Otz6URX4ihShR3dkyGTqYzc5B0zT5POKOhbPt9pwhp_n8fTwYmTOygzQZMvBmTGoJoP7vGSJCblt9iXKdIhaVg==&p=0&fvj=1&vjs=3
Actuarial Data Scientist,Selby Jennings,"Charlotte, NC","Further the development of their data analytics tool-kit.
Create data analytics tools that will serve as the basis for establishing best estimate assumptions…",,4 days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ac1dQX5O4bM0SP6UJQV27qUKlsnOLo2dFi0v4Kq4pXXbjTLEo__hQoGQbeCuKJDt0JoMTZ3hivDJF-6sN_Mm8oRF7U6XsMm4g0mV-otUuPQAfQ00udzbpvkrOPFPUg0o9jBlDX6_wWqDNWjPyceUxZklgChuy8fnLJAy9tKfgiBYEYV6kwX43Dfow76pUnAuykNJC32at0B1-pvSuI0f5-BPxWfyHYyh2MhmfD1yfHAnJMV6gGtCmAy3DFmhixrkqt_1Ngg7b5zMgF3CrrRQG--7TXNEBm1d03t21FBOs3zcQv6a4W1N0n4g6hX-VRg9UmdDRYbd0pY7DxF6EJ46eYEiZlzDXVBOXvIWyY-_Va1PRTlLkDRbhOaWD8RLH3d51MC2z-WyInlZ0VeL2ffALvj7GTlHVe0q5ZYeNhmuLLB_tCfTKBw_rD6bQF2niIg7ZVSfT6vj4-V01-wJrE7gZ_VoGqNL81nVQLsVbvWdlJpp7uhoOhYCtToLpDicxS2w1UWAvtQYx3JA==&p=1&fvj=0&vjs=3
Senior Data Scientist,Red Ventures,"Charlotte, NC",Mentor and/or manage junior data science team members and serves as a subject matter of expertise in data science internally and externally.,,30+ days ago,https://www.indeed.com/rc/clk?jk=cba1c38cbe4f3735&fccid=c39dcf34372f1519&vjs=3
Data Scientist - Pricing Analytics,"Octapharma Plasma, Inc.","Charlotte, NC",Experience using machine learning techniques listed above to drive strategic decisions from raw data to actionable insights.,,1 day ago,https://www.indeed.com/rc/clk?jk=003edaec953895d4&fccid=3a089e5046801bd7&vjs=3
Data Scientist - Nationwide Opportunities,"Amazon Web Services, Inc.","Charlotte, NC",Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,,30+ days ago,https://www.indeed.com/rc/clk?jk=5b8ce7f9ca91572e&fccid=fe2d21eef233e94a&vjs=3
Sr. Data Analyst,Apex Tool Group,"Charlotte, NC","Transform data into actionable insights.
Advanced proficiency with Tableau is preferred but strong experience with other data visualization programs will be…",,8 days ago,https://www.indeed.com/rc/clk?jk=b85ecfeb83bd5716&fccid=41b1557be1503174&vjs=3
Sr Data Analyst,The Hartford,"Charlotte, NC","The Data Engineer, Data Governance will manage the strategy, implementation and oversight data standards, profiling, modeling conceptual relationships, and…",,30+ days ago,https://www.indeed.com/rc/clk?jk=ea18a8f19dc2152a&fccid=25d3835187829237&vjs=3
Principal Data Scientist,Premier Inc.,"Charlotte, NC","Although not required, it is desired for the data scientist to have a clinical background and understand how clinicians wish to deploy analytics in support of…",,30+ days ago,https://www.indeed.com/rc/clk?jk=25d36093975344de&fccid=11802080879afc60&vjs=3
Sr. Data Scientist,MSC Industrial Supply,"Davidson, NC","O Collaborates with cross-functional data and product teams across business applications to access and manipulate data, explain data gathering requirements,…",,30+ days ago,https://www.indeed.com/rc/clk?jk=975adf531dba07c7&fccid=03d1cab2c90ea3c2&vjs=3
AI/ML Developer,TCS,"Davidson, NC","6+ years of relevant exp in AI/ML.
Data Streaming/processing– Kafka / spark / scala.
Data flow understanding and Analytical capabilities.",,5 days ago,https://www.indeed.com/rc/clk?jk=8af8ad8dcdf16086&fccid=c78fdfc4443d4537&vjs=3
"Sr. Manager, Data Science",Lowe's,"Charlotte, NC",Maintains expert-level knowledge on analytical trends and emerging methodologies used to perform consumer data analysis and data modeling techniques used to…,,8 days ago,https://www.indeed.com/rc/clk?jk=fcd01484034198ae&fccid=9a55d5dc8c10ef41&vjs=3
"Software Engineer, Data Science",Red Ventures,"Charlotte, NC","Working knowledge of machine learning a plus.
We maintain a tight loop between development, feedback and deployment, which allows us to build world-class…",,30+ days ago,https://www.indeed.com/rc/clk?jk=35d400370878574e&fccid=c39dcf34372f1519&vjs=3
Data Science Consultant SME,Meridian Technologies,"Charlotte, NC","Perform data exploration and data mining.
Discover business narratives told by the data and present them to other scientists, business stakeholders, and…",,30+ days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DMSIhDZ4aDe3idA9JYTkRcS2uZLmhduZ-CxViPWE3bMTqEU9-91rTLqSIIAEWrTw0yFo4pBgL7V3QPczLkgSFtlnVfmybPf7fAU63wq7QNl0b7hYa2lwnK7npYhAmpIaEGAwLzBnr1HzuVarP4TQh3eyrmXGJWMlJ8V8WZ7Mu_2BeKs-IFnOIg7YZ7qA72vMdK4Y7ImhzvcZGeFrvUndDWQaE0HS4nFHHAKIEAbSeLmbYjilp6PSZdB6F0v79OGBoedeF-OwK7Nikmh1K9XbPbtXhyFosb6TrlyvGpq8k6rxPYznEX2D1wTYfINYII1CJMo6oJXwCYdOlKLUg8BmC-TrM2_josU1kr7YhEnnQF13Zx9nMyFPH_Kel57BKGg4jHF8GOOrz8PsYSmre45pG2uuLGj_zMS_mXpGafFmDiipKYUhL8DePuwxf2vEqgNLbBcUPe_kYoxDHOUZZeol-1fD9cRPTFA7o=&p=12&fvj=1&vjs=3
Data Scientist,"Pyramid Consulting, Inc","Charlotte, NC","Perform data exploration and data mining.
Client business narratives told by the data and present them to other scientists, business stakeholders, and managers…",,17 days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bjic9BpODao-m9BEup4myv2yv9o6hanv70kCRpjMjSDcmmrD9YS-C3oR4_7EU-DV3_MOd0n6ADolXtSPDqZc3MQsNbHGun35yurOGzxnQbNSozOUufdZLietqTDPBZJ_DhNOQ0QC8CfOaU5KPiSoeAcs_DyGCXDbX9PsuSm3cTt52fHlIFfoeriw8WaVXUaF4P--P6OTWPOqGoIzfdIblO6h9anVTZRULUsgfeIDBAs816wRCzFz6cdo024HuZihlSPIsWv6MA98ed91CTr6a3f8CpQ282MtlAvIExnSPWsiF4CBG1FUpK21cWEgcAWj_aIzhSz5YelfD7TlS4-tHqKchfil55YGbqbJnWCUtzWETZTlsG_EfuKFusPk0nIn9mUa1C_wLsZL0OTo4RgM-c6mGrXMCDJq8c1DOR5r9XlbgjyG_qM_YWVUCp0V-t-hNvPfvfKhhUPY-nkGZouY5ANFXrUAZ73op66xtQiRMgT2EuMxXcDrlDDxxaIq9468iPhSqBRkDLhuzF53YD-ZqeHit-DbjULHoIFziNQCTurxuk3Rwb1uZZ8D-7BpOK_ID6wZBSpt88saWBxheexLVkhmJn7OWFQ28G2AANM7RCOv7Ae74qgvGSvKKUJZp_IXvCSmL_7JiwgFUBSyyLq_SXTomv2cpAbsvL4bw1bjvY__35qH1h6Pkacx5moyGLfmqovRWVJa9Cbf3gvOwN20IOdXdJZL74H4iRjHGQGFyADNToOFxHRNvGDN1-U_kmGut2MT42XuIsq3PYp-byVe9G8wAj_grX95BDbJUq-BMWOZifqVYc-QkVyUyd_Gd-DY7BLezgjuu-ZzcGVEpoexn5tcOdBqKw0j2bTQi-GYSt9O8QxM3dBwW_HlQmaIDQmQTLdLX-5C4ZFqysDGPTx7Q3KiL5mPxQ90fZqRzXcuikwyheyiI_tBMvNL8aAgklhF-rI9tTceWF64HTUUwNSScTaS0LEUjlNPyQbMLQGc6WZg==&p=13&fvj=0&vjs=3
Data Scientist,AccruePartners,"Charlotte, NC","Opportunity to analyze various sets of data to help identify various trends along with optimizations.
3-5 years of experience sourcing cleaning and validating…",,30+ days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cmq1pj5Dwku4j-j-jMxiR3p8DjIx5wPgrGZP7N5_dynGcPrp9S6jFT9rQaxa2Xft6ZhfuCJ3nISOVyKdn6K_hPODsRhi1N-a_TAHK2MwRO8kgnDnXpKmCk-Lwe7DNQ-KwPzj_l15CTlcMEFbGAvWQEDLFnZbQO_qOyM7xRb-0FlMHHL1WuWJKXOQAyKJHBumhrLleN2eO1EKIYbYAVWv4bCXafpm4IraG2f4q5L_HbOGlFavoS_gA06TxLP24Kzc-j6BKcVUOOi2EMUaYj0dUE6R7stfGf_3GkJMBwZmC6SuOEk1SlMoIMrFY36-tr54YOk-ievkCRqQTn6S8J7PYkeW5SqNZ2gkK6hAX24oPZfvJmlDJrzi0P_twN3DdwEaiHlcmvM1dJeH7ZOE_ndeVzc8H4TRlhhBz7iuKL0GuFu7V_oObB2O7FkRAaQZzN8u0t_gfoI-rxIg==&p=14&fvj=0&vjs=3
